incentive,private,grade,table,table_size,table_incentive_pr,grape,grape2,cluster,strata,sex,race,lunch,dg,sw,sc,male,group,sex_mf,grade_mod,black,hispanic,free,public,above_grade_median,nosurvey,dbestfriend,dbestfriend_i,dpopular,dpopular_i,tpr_own,Switched,Stayed
1,0,8,26,7,1,0,0,32,3,2,2,2,0,0,0,0,8,0,8,1,0,1,1,1,1,0,0,0,0,0.5714285969734192,Not Changed,Stayed Cookie
0,0,0,217,7,0.4285714328289032,0,0,214,19,2,2,2,0,0,0,0,5,0,0,1,0,1,1,0,1,0,0,0,0,0.2857142984867096,Not Changed,Stayed Cookie
0,0,6,250,7,0,1,1,261,24,3,2,2,0,0,0,1,2,1,6,1,0,1,1,1,1,0,0,0,0,0,Not Changed,Stayed Grape
0,0,3,49,7,0,1,1,45,4,2,3,2,0,0,0,0,2,0,3,0,1,1,1,0,0,1,0,1,0,0,Not Changed,Stayed Grape
1,0,1,118,7,0.5714285969734192,1,1,99,8,3,3,2,0,0,0,1,6,1,1,0,1,1,1,0,1,0,0,0,0,0.1428571492433548,Not Changed,Stayed Grape
0,0,2,57,7,0.4285714328289032,1,1,48,4,2,3,4,0,0,0,0,5,0,2,0,1,0,1,0,0,0,0,0,0,0.1428571492433548,Not Changed,Stayed Grape
1,0,1,118,7,0.5714285969734192,1,1,99,8,2,3,2,0,0,0,0,6,0,1,0,1,1,1,0,0,1,1,1,0,0.4285714328289032,Not Changed,Stayed Grape
0,0,1,118,7,0.5714285969734192,1,0,99,8,3,2,2,-1,0,1,1,5,1,1,1,0,1,1,0,0,0,0,1,0,0.1428571492433548,Grape to Cookie,Changed
0,0,1,182,7,0,1,1,182,16,3,3,2,0,0,0,1,2,1,1,0,1,1,1,0,0,1,0,0,0,0,Not Changed,Stayed Grape
1,0,1,57,7,0.4285714328289032,1,1,48,4,3,3,2,0,0,0,1,6,1,1,0,1,1,1,0,0,1,0,1,1,0.2857142984867096,Not Changed,Stayed Grape
0,0,3,129,7,0,1,1,116,9,2,2,2,0,0,0,0,2,0,3,1,0,1,1,0,0,1,0,1,0,0,Not Changed,Stayed Grape
0,0,3,129,7,0,1,1,116,9,2,2,2,0,0,0,0,2,0,3,1,0,1,1,0,0,1,0,1,0,0,Not Changed,Stayed Grape
1,0,6,232,7,0.4285714328289032,1,1,231,20,3,2,2,0,0,0,1,6,1,6,1,0,1,1,1,0,1,1,1,1,0.4285714328289032,Not Changed,Stayed Grape
